_id,Year_Month,Card_type,Travel_Mode,Trip
189,Nov-2016,School Student,Train,1013962
190,Nov-2016,Senior/Pensioner,Train,2969184
191,Nov-2016,Sgl Trip Rail Adult,Train,320085
192,Nov-2016,Sgl Trip Rail Child/Youth,Train,51606
193,Dec-2016,Adult,Bus,12839969
194,Dec-2016,Adult Single Bus Trip 1,Bus,190339
195,Dec-2016,Adult Single Bus Trip 2,Bus,124517
196,Dec-2016,Adult Single Bus Trip 3,Bus,51178
197,Dec-2016,Child/Youth,Bus,1311601
198,Dec-2016,Child/Youth Single Bus Trip 1,Bus,65006
199,Dec-2016,Child/Youth Single Bus Trip 2,Bus,48328
200,Dec-2016,Child/Youth Single Bus Trip 3,Bus,15754
201,Dec-2016,Concession,Bus,1038399
202,Dec-2016,Employee,Bus,71339
203,Dec-2016,Free Travel,Bus,34095
204,Dec-2016,School Student,Bus,1067910
205,Dec-2016,Senior/Pensioner,Bus,4022430
206,Dec-2016,Adult,Ferry,1050663
207,Dec-2016,Child/Youth,Ferry,144692
208,Dec-2016,Concession,Ferry,27905
209,Dec-2016,Employee,Ferry,5970
210,Dec-2016,Free Travel,Ferry,2219
211,Dec-2016,School Student,Ferry,796
212,Dec-2016,Senior/Pensioner,Ferry,187261
213,Dec-2016,Sgl Trip Ferry Adult,Ferry,70707
214,Dec-2016,Sgl Trip Ferry Child/Youth,Ferry,16773
215,Dec-2016,Adult,Light Rail,533991
216,Dec-2016,Child/Youth,Light Rail,39398
217,Dec-2016,Concession,Light Rail,24597
218,Dec-2016,Free Travel,Light Rail,752
219,Dec-2016,School Student,Light Rail,2109
220,Dec-2016,Senior/Pensioner,Light Rail,122012
221,Dec-2016,Sgl Trip LR Adult,Light Rail,2875
222,Dec-2016,Sgl Trip LR Child/Youth,Light Rail,787
223,Dec-2016,Adult,Train,21532401
224,Dec-2016,Child/Youth,Train,1353758
225,Dec-2016,Concession,Train,1361789
226,Dec-2016,Employee,Train,285847
227,Dec-2016,Free Travel,Train,29099
228,Dec-2016,School Student,Train,404194
229,Dec-2016,Senior/Pensioner,Train,2773808
230,Dec-2016,Sgl Trip Rail Adult,Train,362922
231,Dec-2016,Sgl Trip Rail Child/Youth,Train,85766
232,Jan-2017,Adult,Bus,12658936
233,Jan-2017,Adult Single Bus Trip 1,Bus,182210
234,Jan-2017,Adult Single Bus Trip 2,Bus,116130
